Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/25/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1801.533775,3277.120936,5536.827165,5816.482148,5237.482915,3439.687721,3275.668107,3208.945158,4147.932924,3734.399768,4679.227293,6241.287583,5869.321821,6085.769426,6544.893287,6977.837298,6822.196551,6776.610128,6972.082758,6716.068307,8719.802434,8624.41625,8938.783714,10069.66907,11083.26041,12239.10347,13214.49977,15014.82342,15733.66406,13144.25075,14054.63794,13161.48624,17307.68788,17427.02775,17396.86772,17402.96807,18199.44526,18978.66573,18979.43766,19439.11638,17763.54456,,
"Bahamas, The",BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,5085.379311,5222.796123,5821.438192,6303.432227,7321.386905,8216.938522,8557.15956,9324.127829,9572.013654,10420.69466,10373.92462,10019.64169,10130.58456,9657.27458,9895.104217,12251.23155,13882.05158,18785.43265,19843.33874,22125.41962,22777.23996,22992.88509,24313.35078,24005.63379,24146.07755,25887.28269,26189.77908,27030.35037,26785.98793,24771.40983,24499.98453,24211.9603,25441.88223,24500.66178,25315.00594,26221.44459,26283.05271,27328.05122,27618.83924,28916.04257,21675.92199,,
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.8380123,385.5968705,620.5760946,787.0246643,1119.493388,1210.864428,1335.356297,1365.946892,1548.760316,1912.451444,2402.038348,2559.880848,2926.329795,3542.32522,4431.204023,4118.075291,3938.869854,4243.877877,3914.595832,4232.880103,4303.178421,3816.409706,4041.005772,4371.909654,4942.000426,5036.313534,5001.963583,,
Belarus,BLR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514.223038,1134.415208,1242.153548,1185.405216,1301.121606,1033.596732,1091.516572,1070.641899,1276.741238,1576.609246,2047.14451,2703.831329,3306.472552,4041.280817,5407.101395,4525.762067,5070.016862,5514.335483,5794.68229,6562.334363,6920.552722,4891.063475,4111.320502,4751.758207,5205.002515,5629.18447,5148.322913,,
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1256.522806,1209.935748,1056.096755,1092.886221,1188.111841,1138.02537,1247.806569,1483.691524,1660.39138,1868.192331,2053.698372,2162.104933,2463.093711,2598.587618,2642.294121,2761.299142,2773.532196,2753.033974,2775.141385,2789.375727,2727.964087,2707.134042,2809.518159,2829.874993,2857.636079,2928.939465,3017.660756,2933.060126,2923.955751,3092.911549,2944.370138,3120.875384,3234.140373,3361.538159,3494.139819,3751.191149,3781.281015,3808.434995,3778.55537,3844.453926,3241.733842,,
Bermuda,BMU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,468.727157,529.4191433,589.7199602,648.2480322,617.5064508,823.5609903,761.7969265,728.99871,826.6860201,712.5569191,513.5951105,556.5934436,570.729571,569.681492,581.4927069,642.7291539,674.3532724,673.7618214,687.3689446,758.4034244,825.80866,871.9422472,929.7514758,869.7028004,844.8572535,810.5783362,771.5215069,759.7098636,774.9086934,805.5033929,930.7750755,1045.943019,1368.141701,1440.041329,1565.678398,1831.723222,1987.7469,2220.731168,2416.672408,2526.25134,2595.771728,2743.098421,2895.794799,2938.007359,2617.571454,,
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,393.7337334,448.4724007,520.102179,678.473393,874.5222408,996.8440652,1200.043891,1357.365383,1498.486667,1629.536584,1624.481673,1777.858708,1832.556414,1280.897063,1293.215108,1333.429563,1597.161637,1736.942763,1920.386974,2189.124013,2205.288359,1926.405811,1835.09381,2012.463005,2847.43272,4151.932459,4468.929135,4539.845954,4321.676009,2913.057064,3191.893877,2682.517498,2401.839817,2602.519683,3060.702228,4027.920412,4975.706503,6241.249648,7392.056485,7381.941244,9479.007051,11156.20711,10454.60962,10581.80628,10371.61238,7619.185819,7530.482645,8547.176508,7737.671235,7565.576903,5783.814702,,
Barbados,BRB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,5331.404797,5853.864068,6240.073866,6980.566252,6906.597681,6956.488715,6774.269767,7092.519222,7364.993761,7436.908021,7888.666778,8359.590851,9449.168207,9799.828484,10119.79682,10032.32682,10128.28818,10356.66819,11070.48349,12141.78312,13058.13704,14716.34802,14804.57026,13979.62838,14353.50163,13981.2645,14250.3089,14420.03196,14441.97196,14442.67911,14728.85977,15175.22785,15472.41481,16024.48656,13312.73088,,
Brunei Darussalam,BRN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8844.008407,9331.578138,10723.84603,11829.6074,11306.84196,11033.42961,12385.48343,12902.60878,12935.13164,10377.53402,10909.72635,12512.01006,12092.37496,12897.30314,13904.59712,15737.00124,17709.28779,20377.77151,23570.79996,26899.61422,21074.70916,25940.34993,31166.32952,32952.06437,33009.6642,31840.2071,25926.44213,23923.54912,24057.7558,23272.57504,24194.26458,22117.91388,,
Bhutan,BTN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,190.9220005,198.6718596,172.5712729,189.6977351,223.8324988,229.8027127,256.5485253,345.5590751,395.629899,399.8167231,420.8386652,327.869845,325.4242734,331.5700368,401.6808871,409.8925689,428.9861504,518.5617731,483.6116599,492.4414545,641.0349445,684.2027775,745.2562034,831.0267665,919.505061,1063.86557,1153.457594,1485.239547,1521.645285,1495.296249,1790.678461,2029.260478,1992.622672,1980.247905,2125.809818,2186.759632,2289.546606,2603.997287,2610.617204,2673.388137,2479.701583,,
Botswana,BWA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,187.9385639,224.6768271,312.881805,362.2006149,394.7090397,384.6594001,452.0837632,586.1264916,775.5742075,910.4583809,976.8809893,871.9407928,918.4374443,887.9631712,777.6164763,944.803037,1226.027764,1625.360931,1831.495305,2382.696985,2484.67405,2569.602892,2632.052882,2269.028982,2562.034088,2457.628041,2592.837925,2596.133087,2693.471086,2727.740637,2693.995497,2273.604856,2838.078482,3236.084235,3761.456486,3649.423347,3854.387044,3799.382491,3685.784368,4399.664591,5556.627494,5031.789251,4919.001102,5455.231522,4726.897345,5043.580708,5291.210694,5389.770873,5121.305039,4631.998085,,
Central African Republic,CAF,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,274.8985088,246.3365459,259.5962762,223.5195752,216.989264,297.6608765,378.1754979,390.2979433,406.9597136,391.8483097,446.2824406,414.683806,411.0901799,358.6961537,234.9597072,302.3202204,260.2491834,239.5082174,241.9130121,246.4647169,218.5882406,219.9329537,229.0529787,258.4426505,280.9085101,291.5317226,313.0871385,358.0331115,405.5085521,412.9361941,418.1088022,457.9898949,465.6343021,292.1633254,320.8200801,289.3048541,307.1074695,356.3674332,376.7930564,368.1909781,362.3921305,,
Canada,CAN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,3429.756623,3774.182973,4278.766586,4861.052386,5705.506544,6139.203164,7226.171074,7253.141229,7399.258762,7774.950367,8551.897581,9711.532081,9902.7458,10666.69775,11041.60991,11276.25808,11732.74217,13051.32633,15146.41328,16543.03034,17063.33203,17554.84867,16660.54951,16106.05542,15945.83404,16503.49363,16881.33812,17507.55245,16802.56717,17788.04609,19237.60666,18872.03779,19447.41706,22962.40291,25919.75251,29608.43428,33192.73451,36649.13229,37861.19311,32974.47157,38794.09628,42619.39574,43099.94654,43061.31072,41719.05248,35274.02034,34330.33179,36956.0805,37633.85946,37802.57819,35052.95414,,
Central Europe and the Baltics,CEB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843.938656,2194.06182,2853.496306,3034.095571,3000.25477,3317.587599,3198.595739,3169.020343,3503.239134,3968.886027,4737.521469,5675.845868,6731.805482,7596.10209,9579.777336,11831.05489,9920.976566,10066.78842,11035.47131,10427.79144,11052.51986,11429.73147,10094.73096,10340.68166,11549.95103,13012.82432,13373.38295,13255.67393,,
Switzerland,CHE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40903.23035,39497.99724,34887.40876,36069.38088,35195.72675,33243.816,32551.71045,34087.87057,41328.20532,45823.56546,48466.60637,50637.87798,51715.00929,53414.44484,56404.06006,63794.08836,71482.68848,69245.06814,70273.60797,69888.38205,67173.85961,64491.41818,63880.52406,63796.92495,63271.75723,63781.73321,,
Channel Islands,CHI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,791.5084011,956.6017861,1038.158202,1400.756105,1277.275282,546.4104887,747.2350732,1046.341886,1187.451156,1601.705826,2118.924145,2504.463855,1703.905142,1293.090032,1208.702554,968.2986739,1064.357724,1276.15655,1453.283601,1639.916823,1854.51464,2179.734755,2678.819347,2884.095102,3218.623749,4094.748237,4325.35259,4682.5989,4558.462967,4043.296767,4082.509473,3738.191522,3622.069143,3733.059007,4525.875164,5509.243526,6118.855927,6917.169356,7733.560715,7732.702245,9492.200612,11020.24891,12011.90227,12439.5707,11850.90737,11295.91461,11142.45285,11823.33752,12169.23461,11399.32784,10252.96959,,
China,CHN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,103.5207646,108.5898861,120.1649564,143.012494,141.6146539,154.7273765,140.9692669,157.6396898,132.3839987,147.8603846,151.373036,153.7126827,162.3978813,186.3688305,210.9726159,250.8661758,245.5648111,217.5973309,247.9848937,269.1176146,271.4413808,289.7107576,321.5952759,328.2090092,411.3280968,520.4780724,604.1973633,666.3273148,696.2076126,732.9582229,800.5824126,877.1916613,969.9142484,1086.4258,1250.163254,1435.428017,1712.860927,2181.630405,2718.533114,3058.791344,3511.188316,4163.076241,4799.854928,5273.57202,5799.901238,6039.919271,6145.894329,6714.785783,7378.394948,7545.859948,7572.281831,,
Cote d'Ivoire,CIV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,253.3395457,284.8284294,366.6655084,435.0063481,520.3265634,598.3281242,773.6235846,916.7858225,994.6892676,1059.967656,824.7511604,712.0740518,595.7954281,593.0226127,569.5141045,751.0115991,785.592306,772.4662466,674.8580033,709.3337738,680.2706393,708.133448,672.5678862,505.4595853,656.7674061,694.3259523,660.4248054,703.3717352,665.3553583,528.3782415,532.0770329,570.0838425,675.4210328,739.5544299,789.6949237,791.25376,902.5829122,1054.616767,1058.099353,1069.124168,1044.037025,1106.691433,1257.400092,1445.272849,1835.916193,1848.261754,1918.77233,2098.79471,2079.597418,2135.750581,,
Cameroon,CMR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,154.758889,182.4515407,203.27217,221.7044159,292.8741513,289.3840417,276.6760256,462.4375799,568.6043385,519.6127272,565.9005932,595.2575149,607.2465801,625.9016174,711.1506854,1050.505981,1074.618837,994.6016196,805.5289008,825.4701028,780.0181601,776.7115885,1062.781102,537.5953821,635.3310566,625.2364626,595.397905,640.4165969,641.965662,543.1500193,558.0726686,622.8162458,799.1064432,928.1769944,904.9293191,943.3028966,1033.304291,1137.304626,1170.217376,1089.512514,1160.051297,1100.573442,1217.686896,1297.38552,1127.75373,1156.065069,1190.837283,1285.705185,1244.356692,1271.847494,,
"Congo, Dem. Rep.",COD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.92732503,51.36244898,59.01127989,67.81885316,66.1465385,51.128468,303.4753084,95.47329227,112.1460944,97.3693601,121.5312078,140.3027095,173.2185387,183.0682495,195.2436255,182.7389756,219.9080237,247.6646168,272.5154106,298.2431487,301.5952793,324.1724213,330.2836795,325.2759971,416.0297053,460.6932339,416.7103823,,
"Congo, Rep.",COG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,158.7032597,180.965457,218.7715453,263.0513916,231.4808669,325.4000298,298.5416586,299.0168969,307.6910625,363.6677465,550.1265373,758.4818576,833.8112157,678.613614,608.7615707,588.1982219,578.0292191,622.5935336,452.1720127,343.8802446,318.3792737,466.1411403,499.2472908,343.8657325,239.8990662,61.30938151,54.36359707,144.8929228,221.5983637,145.2001875,61.55110827,131.9135553,172.4517527,269.6436128,210.877873,341.5717777,468.8414359,670.6396646,795.9185164,986.2939977,1111.880753,984.5348625,1564.250627,2034.214549,2212.525191,1564.249632,1247.577027,918.6021546,866.137916,617.8784985,689.0016767,,
